iter	RMSE
0	14.02543609
1	13.13735903
2	12.28566663
3	11.52385707
4	10.88667957
5	10.38024527
6	9.853937299
7	9.355361048
8	8.948884479
9	8.546017509
10	8.177614641
11	7.87166198
12	7.61633205
13	7.371137093
14	7.151483587
15	6.934680713
16	6.761550329
17	6.610347
18	6.470012021
19	6.346135084
20	6.234291221
21	6.138371387
22	6.04031886
23	5.950926022
24	5.87842377
25	5.8298517
26	5.764942708
27	5.708337704
28	5.662965652
29	5.616029037
30	5.565733609
31	5.531245773
32	5.491939141
33	5.460147651
34	5.437420166
35	5.400634163
36	5.375742589
37	5.351015655
38	5.330291805
39	5.309929152
40	5.299153366
41	5.282828498
42	5.265676715
43	5.254911549
44	5.234691754
45	5.219288501
46	5.197846798
47	5.18485206
48	5.164689196
49	5.154763862
50	5.141399501
51	5.134048428
52	5.12240023
53	5.10620484
54	5.093702724
55	5.088367795
56	5.075711664
57	5.061993772
58	5.052359379
59	5.041030461
60	5.028845146
61	5.025078445
62	5.012786301
63	5.00078199
64	4.992210848
65	4.984315984
66	4.968622521
67	4.95313812
68	4.937827485
69	4.926883863
70	4.91752651
71	4.912557426
72	4.897926448
73	4.889426174
74	4.880457476
75	4.871876243
76	4.8670784
77	4.861455546
78	4.850138563
79	4.841580167
80	4.837261786
81	4.823108786
82	4.811095527
83	4.804605428
84	4.794343036
85	4.78725414
86	4.781555841
87	4.76525091
88	4.76119579
89	4.750798263
90	4.743053619
91	4.735101026
92	4.731115351
93	4.72206164
94	4.711504304
95	4.702536438
96	4.689149344
97	4.682698668
98	4.679813758
99	4.667401624
