iter	Passed	Remaining
0	49	49474
1	50	24972
2	50	16798
3	50	12694
4	51	10225
5	51	8577
6	52	7404
7	52	6516
8	52	5833
9	53	5287
10	53	4838
11	54	4462
12	54	4148
13	55	3875
14	55	3639
15	55	3434
16	56	3251
17	56	3090
18	57	2947
19	57	2819
20	57	2701
21	58	2598
22	58	2500
23	59	2409
24	59	2325
25	60	2251
26	60	2180
27	60	2113
28	61	2053
29	61	1996
30	62	1942
31	62	1891
32	62	1842
33	63	1797
34	63	1754
35	64	1714
36	64	1675
37	64	1640
38	65	1607
39	65	1574
40	65	1543
41	66	1513
42	66	1485
43	67	1459
44	67	1433
45	67	1408
46	68	1384
47	68	1362
48	69	1341
49	69	1320
50	69	1300
51	70	1280
52	70	1262
53	71	1244
54	71	1227
55	71	1210
56	72	1194
57	72	1179
58	73	1164
59	73	1149
60	73	1135
61	74	1122
62	74	1109
63	74	1096
64	75	1084
65	75	1072
66	76	1060
67	76	1048
68	76	1038
69	77	1028
70	77	1017
71	78	1007
72	78	998
73	79	988
74	79	979
75	79	970
76	80	966
77	81	959
78	81	950
79	81	942
80	82	934
81	82	926
82	82	916
83	83	908
84	83	900
85	84	894
86	84	887
87	85	881
88	85	874
89	85	868
90	86	861
91	86	855
92	86	848
93	87	842
94	87	836
95	88	830
96	88	825
97	89	821
98	89	816
99	90	810
100	90	805
101	90	800
102	91	796
103	91	791
104	92	788
105	92	783
106	93	781
107	94	777
108	94	774
109	95	770
110	95	766
111	96	762
112	96	759
113	97	756
114	97	752
115	98	749
116	98	744
117	99	741
118	99	737
119	99	733
120	100	729
121	100	724
122	101	720
123	101	716
124	101	713
125	102	711
126	102	707
127	103	703
128	103	700
129	104	697
130	104	693
131	105	691
132	105	688
133	106	685
134	106	682
135	106	679
136	107	675
137	107	672
138	108	669
139	108	666
140	108	663
141	109	659
142	109	656
143	110	654
144	110	651
145	110	649
146	111	646
147	111	643
148	112	641
149	112	639
150	113	636
151	113	633
152	113	630
153	114	628
154	114	625
155	115	623
156	115	620
157	116	618
158	116	615
159	116	612
160	117	609
161	117	607
162	117	604
163	118	602
164	118	600
165	119	598
166	119	596
167	120	594
168	120	592
169	120	590
170	121	587
171	121	586
172	122	584
173	122	581
174	123	579
175	123	577
176	123	575
177	124	573
178	124	571
179	124	569
180	125	567
181	125	565
182	126	563
183	126	561
184	126	559
185	127	557
186	127	555
187	128	553
188	128	551
189	128	549
190	129	547
191	129	546
192	130	544
193	130	542
194	130	540
195	131	539
196	131	537
197	132	535
198	132	534
199	133	532
200	133	531
201	134	529
202	134	527
203	134	526
204	135	524
205	135	522
206	136	521
207	136	519
208	136	518
209	137	516
210	137	514
211	138	513
212	138	511
213	138	510
214	139	508
215	139	507
216	140	506
217	140	504
218	140	502
219	141	501
220	141	499
221	142	498
222	142	496
223	142	494
224	143	493
225	143	492
226	144	490
227	144	489
228	144	487
229	145	486
230	145	484
231	146	483
232	146	482
233	147	481
234	147	480
235	147	478
236	148	477
237	148	475
238	149	474
239	149	473
240	149	472
241	150	471
242	150	470
243	151	468
244	151	467
245	152	466
246	152	465
247	153	464
248	153	463
249	154	463
250	155	462
251	155	462
252	156	461
253	157	461
254	157	461
255	158	460
256	159	459
257	159	459
258	160	459
259	161	458
260	161	458
261	162	457
262	162	456
263	163	455
264	163	454
265	164	453
266	164	452
267	165	450
268	165	449
269	165	448
270	166	447
271	166	446
272	167	446
273	168	446
274	168	445
275	169	444
276	169	443
277	170	442
278	170	441
279	171	439
280	171	439
281	172	437
282	172	437
283	172	435
284	173	434
285	173	434
286	175	435
287	175	434
288	176	434
289	176	433
290	177	432
291	178	432
292	179	432
293	179	431
294	180	430
295	181	430
296	181	429
297	182	429
298	182	428
299	183	427
300	183	427
301	184	426
302	184	425
303	185	424
304	186	424
305	188	426
306	188	426
307	190	427
308	191	427
309	191	426
310	192	425
311	194	428
312	195	428
313	195	427
314	198	430
315	198	430
316	199	430
317	201	432
318	202	431
319	202	430
320	203	429
321	203	429
322	204	429
323	205	429
324	206	428
325	207	429
326	208	428
327	208	428
328	209	428
329	211	428
330	211	427
331	212	426
332	212	425
333	215	429
334	215	428
335	216	427
336	218	428
337	218	428
338	219	427
339	220	428
340	221	427
341	221	426
342	222	425
343	223	426
344	224	426
345	225	425
346	225	425
347	227	425
348	228	425
349	229	425
350	229	424
351	231	426
352	232	425
353	232	424
354	233	423
355	235	425
356	235	424
357	236	424
358	237	423
359	237	422
360	238	422
361	239	421
362	239	420
363	240	420
364	241	420
365	242	420
366	243	419
367	243	418
368	244	418
369	245	418
370	246	417
371	246	416
372	246	415
373	247	414
374	248	413
375	249	413
376	249	412
377	250	411
378	250	410
379	251	410
380	251	409
381	252	409
382	253	408
383	253	407
384	254	406
385	254	405
386	255	405
387	256	404
388	256	403
389	257	402
390	258	402
391	258	400
392	259	400
393	259	399
394	260	398
395	260	397
396	261	397
397	261	396
398	262	395
399	263	394
400	263	393
401	264	392
402	265	392
403	265	391
404	266	391
405	266	390
406	267	389
407	267	388
408	268	388
409	269	387
410	269	386
